ID,Repo,Workflow,Category,Success_Count,Forward_Success,Backward_Success,Bidirectional_Success,Forward_Status,Backward_Status,Bidirectional_Status,Forward_URL,Backward_URL,Bidirectional_URL
29,django-import-export,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/django-import-export/actions/runs/32499106414,https://github.com/RabeyaMuna/django-import-export/actions/runs/33788792617,https://github.com/RabeyaMuna/django-import-export/actions/runs/33938350358
292,LightRAG,linting.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/LightRAG/actions/runs/32501202497,https://github.com/RabeyaMuna/LightRAG/actions/runs/33797060536,https://github.com/RabeyaMuna/LightRAG/actions/runs/33939381323
294,LightRAG,linting.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/LightRAG/actions/runs/32500591291,https://github.com/RabeyaMuna/LightRAG/actions/runs/33793506759,https://github.com/RabeyaMuna/LightRAG/actions/runs/33939082498
30,django-import-export,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/django-import-export/actions/runs/32499093330,https://github.com/RabeyaMuna/django-import-export/actions/runs/33788774718,https://github.com/RabeyaMuna/django-import-export/actions/runs/33938343603
309,deepcode,linting.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/DeepCode/actions/runs/32500801838,https://github.com/RabeyaMuna/DeepCode/actions/runs/33794146616,https://github.com/RabeyaMuna/DeepCode/actions/runs/33939183595
31,django-import-export,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/django-import-export/actions/runs/32499114170,https://github.com/RabeyaMuna/django-import-export/actions/runs/33788805575,https://github.com/RabeyaMuna/django-import-export/actions/runs/33938355013
325,sqlglot,package-test.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/sqlglot/actions/runs/32500663224,https://github.com/RabeyaMuna/sqlglot/actions/runs/33793939403,https://github.com/RabeyaMuna/sqlglot/actions/runs/33939114552
328,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32501003087,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794516845,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939294248
330,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32501021679,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794539572,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939302300
331,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32500946009,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794443556,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939264165
332,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32500953546,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794455023,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939268731
333,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32501027510,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794548649,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939303601
334,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32501059051,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794577815,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939315715
335,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32501094283,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794614324,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939329779
336,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32500985814,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794498538,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939286868
339,maxkb,typos_check.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/MaxKB/actions/runs/32500949886,https://github.com/RabeyaMuna/MaxKB/actions/runs/33794449367,https://github.com/RabeyaMuna/MaxKB/actions/runs/33939266414
34,django-import-export,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/django-import-export/actions/runs/32499109305,https://github.com/RabeyaMuna/django-import-export/actions/runs/33788798491,https://github.com/RabeyaMuna/django-import-export/actions/runs/33938352788
343,agentscope,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/agentscope/actions/runs/32501294048,https://github.com/RabeyaMuna/agentscope/actions/runs/33797218145,https://github.com/RabeyaMuna/agentscope/actions/runs/33939425439
345,agentscope,pre-commit.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/agentscope/actions/runs/32501227902,https://github.com/RabeyaMuna/agentscope/actions/runs/33797096401,https://github.com/RabeyaMuna/agentscope/actions/runs/33939394115
372,aisuite,run_pytest.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/aisuite/actions/runs/32501244665,https://github.com/RabeyaMuna/aisuite/actions/runs/33797122209,https://github.com/RabeyaMuna/aisuite/actions/runs/33939403283
373,aisuite,run_pytest.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/aisuite/actions/runs/32501236398,https://github.com/RabeyaMuna/aisuite/actions/runs/33797110257,https://github.com/RabeyaMuna/aisuite/actions/runs/33939398315
377,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32500258050,https://github.com/RabeyaMuna/litellm/actions/runs/33790422242,https://github.com/RabeyaMuna/litellm/actions/runs/33938915408
379,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32501309067,https://github.com/RabeyaMuna/litellm/actions/runs/33797240297,https://github.com/RabeyaMuna/litellm/actions/runs/33939434500
388,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32499665138,https://github.com/RabeyaMuna/litellm/actions/runs/33789574948,https://github.com/RabeyaMuna/litellm/actions/runs/33938621369
389,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32500499923,https://github.com/RabeyaMuna/litellm/actions/runs/33790779646,https://github.com/RabeyaMuna/litellm/actions/runs/33939038131
39,httpx,test-suite.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/httpx/actions/runs/32499201730,https://github.com/RabeyaMuna/httpx/actions/runs/33788935408,https://github.com/RabeyaMuna/httpx/actions/runs/33938401492
390,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32499699073,https://github.com/RabeyaMuna/litellm/actions/runs/33789625176,https://github.com/RabeyaMuna/litellm/actions/runs/33938638668
391,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32500393180,https://github.com/RabeyaMuna/litellm/actions/runs/33790616975,https://github.com/RabeyaMuna/litellm/actions/runs/33938985109
395,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32501283963,https://github.com/RabeyaMuna/litellm/actions/runs/33797203849,https://github.com/RabeyaMuna/litellm/actions/runs/33939420971
398,litellm,test-linting.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32499936743,https://github.com/RabeyaMuna/litellm/actions/runs/33789969385,https://github.com/RabeyaMuna/litellm/actions/runs/33938755750
400,litellm,test-litellm.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/litellm/actions/runs/32500310533,https://github.com/RabeyaMuna/litellm/actions/runs/33790493350,https://github.com/RabeyaMuna/litellm/actions/runs/33938940802
41,httpx,test-suite.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/httpx/actions/runs/32499212745,https://github.com/RabeyaMuna/httpx/actions/runs/33788949022,https://github.com/RabeyaMuna/httpx/actions/runs/33938407625
430,docsgpt,pytest.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/DocsGPT/actions/runs/32501103606,https://github.com/RabeyaMuna/DocsGPT/actions/runs/33794630926,https://github.com/RabeyaMuna/DocsGPT/actions/runs/33939334054
435,pythonrobotics,MacOS_CI.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/PythonRobotics/actions/runs/32500897829,https://github.com/RabeyaMuna/PythonRobotics/actions/runs/33794312812,https://github.com/RabeyaMuna/PythonRobotics/actions/runs/33939232461
455,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500148234,https://github.com/RabeyaMuna/axolotl/actions/runs/33790258413,https://github.com/RabeyaMuna/axolotl/actions/runs/33938858538
457,axolotl,tests.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32499551505,https://github.com/RabeyaMuna/axolotl/actions/runs/33789403529,https://github.com/RabeyaMuna/axolotl/actions/runs/33938565506
461,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32499941988,https://github.com/RabeyaMuna/axolotl/actions/runs/33789979129,https://github.com/RabeyaMuna/axolotl/actions/runs/33938758143
463,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500113311,https://github.com/RabeyaMuna/axolotl/actions/runs/33790214303,https://github.com/RabeyaMuna/axolotl/actions/runs/33938843972
474,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32499556031,https://github.com/RabeyaMuna/axolotl/actions/runs/33789412540,https://github.com/RabeyaMuna/axolotl/actions/runs/33938568096
478,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500117486,https://github.com/RabeyaMuna/axolotl/actions/runs/33790219757,https://github.com/RabeyaMuna/axolotl/actions/runs/33938845686
48,accelerate,quality.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/accelerate/actions/runs/32499250928,https://github.com/RabeyaMuna/accelerate/actions/runs/33789002446,https://github.com/RabeyaMuna/accelerate/actions/runs/33938425897
483,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500094296,https://github.com/RabeyaMuna/axolotl/actions/runs/33790188688,https://github.com/RabeyaMuna/axolotl/actions/runs/33938834336
484,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500071193,https://github.com/RabeyaMuna/axolotl/actions/runs/33790154984,https://github.com/RabeyaMuna/axolotl/actions/runs/33938823664
489,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500384396,https://github.com/RabeyaMuna/axolotl/actions/runs/33790605861,https://github.com/RabeyaMuna/axolotl/actions/runs/33938980659
49,accelerate,quality.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/accelerate/actions/runs/32499186906,https://github.com/RabeyaMuna/accelerate/actions/runs/33788912671,https://github.com/RabeyaMuna/accelerate/actions/runs/33938392699
492,axolotl,lint.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32500373833,https://github.com/RabeyaMuna/axolotl/actions/runs/33790580381,https://github.com/RabeyaMuna/axolotl/actions/runs/33938972538
493,axolotl,tests.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/axolotl/actions/runs/32499627556,https://github.com/RabeyaMuna/axolotl/actions/runs/33789526038,https://github.com/RabeyaMuna/axolotl/actions/runs/33938604435
526,conan,main.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/conan/actions/runs/32499595460,https://github.com/RabeyaMuna/conan/actions/runs/33789473576,https://github.com/RabeyaMuna/conan/actions/runs/33938586727
53,starlette,test-suite.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/starlette/actions/runs/32499278912,https://github.com/RabeyaMuna/starlette/actions/runs/33789040347,https://github.com/RabeyaMuna/starlette/actions/runs/33938439413
535,conan,main.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/conan/actions/runs/32500514611,https://github.com/RabeyaMuna/conan/actions/runs/33790794163,https://github.com/RabeyaMuna/conan/actions/runs/33939045963
536,conan,main.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/conan/actions/runs/32499671378,https://github.com/RabeyaMuna/conan/actions/runs/33789589809,https://github.com/RabeyaMuna/conan/actions/runs/33938626324
539,conan,main.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/conan/actions/runs/32500016866,https://github.com/RabeyaMuna/conan/actions/runs/33790080962,https://github.com/RabeyaMuna/conan/actions/runs/33938797594
55,mindsdb,code_checks.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/mindsdb/actions/runs/32499247002,https://github.com/RabeyaMuna/mindsdb/actions/runs/33788996538,https://github.com/RabeyaMuna/mindsdb/actions/runs/33938424114
558,cookiecutter,test.02.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/cookiecutter/actions/runs/32500658815,https://github.com/RabeyaMuna/cookiecutter/actions/runs/33793931928,https://github.com/RabeyaMuna/cookiecutter/actions/runs/33939112076
56,seaborn,ci.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/seaborn/actions/runs/32499263162,https://github.com/RabeyaMuna/seaborn/actions/runs/33789021138,https://github.com/RabeyaMuna/seaborn/actions/runs/33938432277
563,crewai,type-checker.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/crewAI/actions/runs/32500005609,https://github.com/RabeyaMuna/crewAI/actions/runs/33790062208,https://github.com/RabeyaMuna/crewAI/actions/runs/33938791534
564,crewai,type-checker.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/crewAI/actions/runs/32499949392,https://github.com/RabeyaMuna/crewAI/actions/runs/33789986836,https://github.com/RabeyaMuna/crewAI/actions/runs/33938760836
573,crewai,tests.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/crewAI/actions/runs/32499745277,https://github.com/RabeyaMuna/crewAI/actions/runs/33789691271,https://github.com/RabeyaMuna/crewAI/actions/runs/33938659638
63,errbot,python-package.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/errbot/actions/runs/32499060460,https://github.com/RabeyaMuna/errbot/actions/runs/33788725007,https://github.com/RabeyaMuna/errbot/actions/runs/33938324920
68,spektral,examples.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/spektral/actions/runs/32499268965,https://github.com/RabeyaMuna/spektral/actions/runs/33789026951,https://github.com/RabeyaMuna/spektral/actions/runs/33938434933
