ID,Repo,Workflow,Solved_By,Failed_In,Category,Investigation_Priority,Root_Cause,Notes
459,axolotl,tests.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
46,accelerate,quality.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
462,axolotl,lint.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
464,axolotl,lint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
470,axolotl,lint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
479,axolotl,tests.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
487,axolotl,lint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
490,axolotl,tests.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
491,axolotl,tests.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
496,browser-use,lint.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
502,browser-use,lint.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
504,browser-use,lint.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
517,browser-use,lint.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
523,conan,main.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
527,conan,main.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
528,conan,main.yml,Forward + Bidirectional,Backward,Fwd+Bidir Only (Back MISSED),,,
529,conan,main.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
533,conan,main.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
537,conan,main.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
538,conan,main.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
540,conan,main.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
541,conan,main.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
544,conan,main.yml,Forward + Bidirectional,Backward,Fwd+Bidir Only (Back MISSED),,,
545,conan,main.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
547,conan,main.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
548,conan,main.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
559,cowrie,tox.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
560,crewai,tests.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
566,crewai,tests.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
568,crewai,linter.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
57,seaborn,ci.yaml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
574,crewai,tests.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
66,open_model_zoo,accuracy_checker.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
